,control
AKAP13,1.4731511845436014
AKAP6,3.7477173663258787
AKAP7,2.569640129196992
AKAP8L,2.8767045617788396
AKAP9,1.5161552866974977
AKIP1,2.818579493241947
AKIRIN1,3.470375084753882
AKIRIN2,4.779182225927822
AKNA,0.32742637708127537
AKR1A1,1.293528756591566
AKR1B10,1.1018926495183194
AKR1B15,0.5824825242347034
AKR1C1,2.4846769262878956
AKR1C2,0.5236121180738144
AKR1C3,2.059127447492905
AKR7A2,3.2639963654697404
AKT1,3.7802779044116273
AKT1S1,3.5648220622526567
AKT2,3.3263423696099363
AKT3,1.5369916764655334
AKTIP,4.648096231186237
ALAS1,4.594683339849583
ALAS2,0.0
ALCAM,0.508075906859317
ALDH16A1,0.6973802029140324
ALDH18A1,0.8586292538909874
ALDH1A1,3.2652093198765497
ALDH1A2,1.87389679051957
ALDH1A3,1.5215931084311731
ALDH1B1,4.227642535824726
ALDH1L1,2.9438925754727343
ALDH1L1_AS2,1.4025010525225339
ALDH2,5.649011578172193
ALDH3A2,3.29476618384078
ALDH3B1,0.63559086473167
ALDH4A1,3.5252736505683986
ALDH5A1,4.156919565423998
ALDH6A1,2.4635521447534545
ALDOA,11.442127664779026
ALDOC,0.7145342037398774
ALG11,1.4517123115252248
ALG12,1.685500015366967
ALG13,1.4774981540898557
ALG14,1.4416667258804199
ALG2,2.2059056897288922
ALG3,1.6235300406879407
ALG5,1.4900461890262044
ALG8,0.8934499773934704
ALKBH2,2.0828266288155515
ALKBH4,2.0224963955887296
ALKBH5,6.946494675939172
ALKBH6,1.5621716050610313
ALKBH7,4.17091467655802
ALKBH8,1.4577557288412808
ALOX12_AS1,0.6694082507995183
ALOX5,0.19984319170326043
ALOX5AP,1.102981372048664
ALPK1,0.34829055860434943
ALPK2,3.7704904827541412
ALPK3,5.58792663659913
ALPL,0.24901753621277023
ALS2CL,1.685023698151936
ALYREF,1.8236070072620674
AMD1,2.9047498428001317
AMDHD2,0.371884724412637
AMH,0.5538798806842465
AMICA1,0.3162242338757915
AMIGO1,2.092221431553669
AMN1,2.1163939667022356
AMOT,3.5326807213596387
AMOTL1,1.4852023203624356
AMOTL2,1.499141341366971
AMPD1,6.797882033382364
AMPD2,0.4713237828390632
AMPD3,1.2240514651619556
AMT,2.7250229244452733
AMY2B,3.6521943266336736
AMZ2,4.361054239728226
ANAPC10,1.6070194418499701
ANAPC11,5.964291772166635
ANAPC13,4.286767657316056
ANAPC2,2.389826948124165
ANAPC4,1.343033301816161
ANAPC5,2.696188002503972
ANAPC7,3.1563318496167576
ANG,0.0
ANGEL2,1.37746482548062
ANGPT1,2.260462738910474
ANGPT2,0.653762198167114
ANGPTL1,3.275588190962485
ANGPTL2,4.452456750108587
ANGPTL4,1.0870219807885437
ANGPTL7,0.3374726991365794
ANK1,4.369385244900704
ANK2,2.614828791011343
ANK3,1.4045100801461858
ANKDD1A,0.4146104025927768
ANKFY1,1.9687497758782442
ANKHD1_EIF4EBP3,2.293603999286708
ANKMY2,3.1815048946882647
ANKRA2,1.2644313508799616
ANKRD1,2.5967902172627415
ANKRD10,4.996665064634296
ANKRD11,2.3554133186014026
ANKRD12,1.624665680076614
ANKRD13A,1.9867862817938906
ANKRD13B,1.1477044592426924
ANKRD13D,0.5212517482437113
ANKRD17,1.9820130657814192
ANKRD19P,0.08908580113228248
ANKRD2,5.535312610198136
ANKRD22,0.0
ANKRD23,8.629294360377642
ANKRD26,1.41395283921036
ANKRD28,2.1048012350770557
ANKRD29,0.8942297287099614
ANKRD30BL,0.3182305965324662
ANKRD33B,1.3747655171081035
ANKRD35,1.6421728007388814
ANKRD37,0.0
ANKRD39,2.1978782367717145
ANKRD40,5.511310491942019
ANKRD44,0.5835043671296549
ANKRD46,3.6508220860623832
ANKRD49,1.772072582845563
ANKRD54,2.1490486597121627
ANKRD65,0.8690467463345104
ANKRD9,5.301399573349085
ANKS3,0.7559629634114804
ANKZF1,2.651315546392853
ANO1,1.7038777315680702
ANO10,1.751336150760051
ANO5,3.777144920427654
ANO6,2.083844101098866
ANO8,1.4465243160007943
ANOS1,2.066897542760973
ANP32AP1,1.8054207243225493
ANP32B,3.661592038582863
ANP32E,3.5108775273896056
ANPEP,0.3268062966166861
ANTXR1,2.123782391250682
ANTXR2,1.2030956110006876
ANXA1,2.5471034725459636
ANXA11,1.848249401325432
ANXA2,0.22477632465229014
ANXA2P1,1.5276028773178627
ANXA2P2,3.8783212180536975
ANXA2P3,1.604258423493098
ANXA2R,1.1028803225820747
ANXA3,2.25307065119702
ANXA4,1.9493652189202446
ANXA5,4.176755404451639
ANXA6,0.7218062413960504
ANXA7,4.708444016681254
AOAH,0.0
AOC3,2.041862757432983
AOX1,0.348494865289656
AP1AR,1.7442348604963536
AP1B1,2.500055450569713
AP1G1,2.3214923328133814
AP1G2,0.11797195362676681
AP1M1,2.3372691439300555
AP1S1,1.3832613187525329
AP1S2,4.903018962739321
AP2A1,3.9743753198111706
AP2A2,1.6046830265718357
AP2B1,3.4769530921405885
AP2M1,4.4316530962800265
AP2S1,3.9174030622843996
AP3B1,1.3150240491085663
AP3D1,2.6600386130014435
AP3M1,2.1931494473866926
AP3M2,1.7672521524470013
AP3S1,3.0411138698644393
AP4B1,1.6777350205614823
AP4B1_AS1,1.2238621331225392
AP4M1,1.2763105126539798
AP5M1,2.880242739735974
AP5S1,2.720890315850702
AP5Z1,0.8132011757025538
APBA3,1.7196395312311772
APBB1,2.754123927845047
APBB1IP,0.3437971546113245
APBB2,1.9761197778940383
APBB3,1.7046435313084176
APC,1.6472430182750168
APCDD1,2.6352419928382904
APEH,2.405462606184362
APEX1,5.185131230320577
APEX2,1.564333352219522
APH1A,2.1679889008874307
API5,0.9693568330919019
APIP,3.651711552431149
APITD1,1.517097776262795
APLN,1.0591149743901103
APLNR,2.8157323041994653
APLP2,1.551044203267237
APMAP,2.6845702782645615
APOA1BP,3.2283979495430404
APOBEC2,8.223606009099234
APOBEC3A,0.02512615844815716
APOBEC3B,0.0
APOBEC3C,0.9377310569507393
APOBEC3D,0.2045788972672351
APOBEC3F,0.24539754066096459
APOBEC3G,0.2922469672509954
APOBEC3H,0.0
APOBR,0.10328016397890627
APOC1P1,0.0
APOD,7.239530473443285
APOE,2.5476063413583265
APOL1,1.758552360912178
APOL2,1.8679953444951556
APOL3,2.411454112267288
APOL4,0.5288201451916102
APOL6,0.9871330539910153
APOLD1,1.3771392799503648
APOO,2.5471129367014447
APOOL,2.9755052066155363
APOPT1,5.189399741522938
APP,2.4739390436529756
APPBP2,1.9277962601386152
APPL1,3.4771824206724085
APPL2,2.0541695032476417
APRT,2.9622754785221685
APTX,1.9312129276304393
AQP1,3.5216198126503206
AQP3,0.542035125174507
AQP4,1.5287963829421471
AQP7,3.22974230754438
AQP7P1,0.6646923329231684
AQP7P3,0.0
AQP9,0.0
AR,1.918713983750835
ARAF,4.948699118447424
ARAP1,0.920449159677659
ARAP3,1.316761395373405
ARCN1,3.2880788912411756
ARF1,6.99717869501028
ARF3,2.5767162367611673
ARF4,4.296534505852594
ARF5,4.806799618222607
ARFGAP1,2.566453512461753
ARFGAP2,4.320274690097168
ARFGAP3,1.2073392469980515
ARFIP1,1.8601846114591942
ARFIP2,1.476159781561707
ARFRP1,2.151463015435283
ARG2,3.186561788652714
ARGLU1,4.480098786335239
ARHGAP1,2.8858487618472806
ARHGAP12,2.2452215182347834
ARHGAP15,0.22335004102329023
ARHGAP17,3.0657110527243656
ARHGAP18,2.034870122437555
ARHGAP22,0.6177118659699545
ARHGAP23,1.499484791227668
ARHGAP24,1.717183562788433
ARHGAP25,0.827605813080976
ARHGAP27,0.9369696628195416
ARHGAP28,0.9668575164579525
ARHGAP29,1.964028670399564
ARHGAP30,0.4337970780167825
ARHGAP36,0.23209542034969788
ARHGAP4,0.44685962801672174
ARHGAP5,1.541139037888959
ARHGAP6,1.234065224606446
ARHGAP9,0.13765829364822946
ARHGDIA,4.3095963206555865
ARHGDIB,3.8648371531668255
ARHGDIG,0.0
ARHGEF1,0.9807706461627641
ARHGEF10L,3.5705849474627245
ARHGEF11,2.054019702563564
ARHGEF12,1.0225217008242664
ARHGEF15,1.6515162819627076
ARHGEF17,1.5770272256172955
ARHGEF2,2.1606740971862344
ARHGEF25,1.0530174943835964
ARHGEF3,1.5032522323417927
ARHGEF37,2.7472866395733737
ARHGEF39,2.2381214206491276
ARHGEF4,1.7851433726408437
ARHGEF40,1.4514450056559856
ARHGEF6,4.196006150505651
ARHGEF7,2.3381580494744263
ARID1A,2.3401291426152797
ARID1B,2.42353112816729
ARID4A,0.9980838947106845
ARID4B,1.4839603590598498
ARID5A,2.7310687513112475
ARID5B,2.3816279679965495
ARL1,3.9938272269949637
ARL15,1.2177110721447557
ARL16,2.693151761183806
ARL17A,1.1012228615533584
ARL2,5.19547178569111
ARL2BP,3.8122923155103976
ARL2_SNX15,3.1356506167431037
ARL4A,0.5623061041025302
ARL4C,0.5114199362086087
ARL4D,1.0520526286092329
ARL5A,3.070371896271391
ARL6IP1,3.4382225541959115
ARL6IP4,4.129944393258718
ARL6IP5,6.588243806396774
ARL6IP6,1.7515759980672412
ARL8A,2.983617891427551
ARMC1,2.1385478750308584
ARMC10,1.7956803658571012
ARMC5,1.5128096334441112
ARMC6,2.158262864889525
ARMC7,1.2166527083888652
ARMC8,2.8523181529673804
ARMCX1,3.85718233340104
ARMCX2,1.8667914256706832
ARMCX3,3.1847181170617773
ARMCX5,1.488701542064545
ARMCX5_GPRASP2,1.7802393832176244
ARMCX6,2.0050608927357496
ARMT1,2.948071376590046
ARNT,2.7589039253832732
ARNT2,1.615727894911431
ARNTL,0.7892514889307883
ARPC1A,3.517145769136974
ARPC1B,1.1473639938012092
ARPC2,5.65010295475616
ARPC3,3.2706722463226754
ARPC4,2.069363487581995
ARPC4_TTLL3,0.0
ARPC5,2.68834800079402
ARPC5L,4.7316334888670415
ARPIN,1.9963212895015015
ARPP19,3.472782568203274
ARPP21,3.3915897962878248
ARRB1,0.978057043737057
ARRB2,1.3714464595319908
ARRDC1,1.6787833485170083
ARRDC1_AS1,2.330843246500468
ARRDC2,4.573381766269313
ARRDC3,2.9808639498513525
ARRDC4,2.1128484039247346
ARSA,1.1880468973313674
ARSD,0.49642773172224836
ART1,1.599212228353903
ART3,5.96130222765404
ART5,2.4074741492744542
ARV1,3.149692136527484
ARVCF,1.3196692860263441
ARX,2.9299883553175325
ASAH1,4.896895835059093
ASAP1,1.3129916248337687
ASAP2,1.174966387592359
ASAP3,2.575573411435561
ASB10,4.372149621975392
ASB11,3.277114946791174
ASB12,5.334518166166016
ASB13,2.516782997769329
ASB14,2.0007559661518672
ASB15,2.4381962426885977
ASB16,3.08134306060859
ASB16_AS1,2.0331795208350147
ASB18,1.200916229199791
ASB2,7.412722100432644
ASB3,1.2463272666101575
ASB4,3.442542951220967
ASB5,6.7317409812742
ASB6,0.6382168287644077
ASB8,6.4466236350463895
ASCC1,0.3633782704061278
ASCC2,2.3391440568452664
ASCL5,0.07104079285249071
ASF1A,2.879860540370955
ASF1B,0.08343296868033565
ASH2L,2.9272052595544027
ASL,0.1471453921321229
ASNA1,2.9318229490118437
ASNS,0.6291609784725783
ASPA,1.7334038941682925
ASPH,5.2072011548680335
ASPN,1.8014977472138132
ASPSCR1,1.7029626661649588
ASRGL1,0.6514331591807945
ASS1,1.8409973344003268
ASUN,1.5652469847493249
ATAD3A,1.406338112528406
ATAD3B,1.1398480508468882
ATAD3C,0.19461064366246034
ATAT1,1.267226639197175
ATE1,1.0467940736819634
ATF1,3.5368868369908397
ATF2,2.2055564889529675
ATF3,1.3686264260192635
ATF4,7.212691458476407
ATF5,2.173944076852623
ATF6B,1.6183621877010959
ATF7,2.2078137406796134
ATF7IP,2.188561493588005
ATG101,3.7984153996847025
ATG12,2.405041436894473
ATG13,0.701772190314882
ATG16L1,2.16238697764106
ATG16L2,0.5474092679300011
ATG3,1.8865299804429472
ATG4A,2.6140804774810507
ATG4B,2.5921496516803315
ATG4D,3.4952080586463627
ATG5,2.6057775724487025
ATG7,0.6071143283814568
ATG9A,4.728702854003394
ATHL1,1.1489755080495787
ATIC,2.269785373171432
ATL2,3.6395426702877316
ATL3,1.5817463783880505
ATMIN,2.98040706047081
ATN1,4.008862448802947
ATOH8,1.5311279846665953
ATOX1,0.0
