,control
ALDH1B1,5.137929056024072
ALDH1L1,2.7573013013138783
ALDH1L1_AS2,1.075529208399262
ALDH2,5.125448642365549
ALDH3A2,3.5708927609657324
ALDH3B1,1.4865640469290318
ALDH4A1,3.8623723360178186
ALDH5A1,3.4306607530806565
ALDH6A1,2.2655521150120674
ALDOA,10.582896198230571
ALDOC,1.0094195560365897
ALG11,1.4464738089539426
ALG12,2.0886328167176114
ALG13,1.8178422031228938
ALG14,1.687808276605332
ALG2,2.2501994110425887
ALG3,2.315608542570293
ALG5,1.9098187935604982
ALG8,1.2484789731279562
ALKBH2,2.706820719998881
ALKBH4,2.23236205730153
ALKBH5,6.6021409769340105
ALKBH6,2.0587563379476594
ALKBH7,3.762176362348718
ALKBH8,1.452797303005311
ALOX12_AS1,1.0263744457865438
ALOX5,0.9023321797251495
ALOX5AP,1.741709015270153
ALPK1,0.9075706179391256
ALPK2,3.269724696085473
ALPK3,5.401108268835236
ALPL,0.6858172843360081
ALS2CL,1.694659148301673
ALYREF,2.17530422796118
AMD1,2.6688997301647697
AMDHD2,0.7413280495271697
AMH,0.703697858835598
AMICA1,0.8624799572972757
AMIGO1,1.7401707292559192
AMN1,1.9447415265627583
AMOT,3.782911009207399
AMOTL1,1.8345688402193847
AMOTL2,1.4827703392988834
AMPD1,6.370427471637616
AMPD2,1.2209793310708137
AMPD3,2.2572140299025567
AMT,2.8260434174946485
AMY2B,3.4228445360696944
AMZ2,4.261227501483926
ANAPC10,1.1078391602580686
ANAPC11,5.908809930136856
ANAPC13,4.565071178644138
ANAPC2,2.800833029778913
ANAPC4,1.6669219811429496
ANAPC5,3.346885568146157
ANAPC7,3.592287671374501
ANG,0.0
ANGEL2,0.9466919386595889
ANGPT1,1.7226024182818966
ANGPT2,1.1596427473491877
ANGPTL1,3.5251206044064802
ANGPTL2,5.099080172882833
ANGPTL4,2.0889770458646835
ANGPTL7,0.27655502735523857
ANK1,4.362579156312453
ANK2,2.443688065975715
ANK3,1.4209377621267951
ANKDD1A,0.7075866319825471
ANKFY1,1.1201979738933203
ANKHD1_EIF4EBP3,2.3620655688902215
ANKMY2,2.893236576263898
ANKRA2,1.6113069623382683
ANKRD1,7.3688415905400335
ANKRD10,5.547411392136454
ANKRD11,2.6355345463376243
ANKRD12,1.6816503065469472
ANKRD13A,2.4440892371090657
ANKRD13B,1.6872309342310272
ANKRD13D,1.2972724282956163
ANKRD17,2.1247383844306675
ANKRD19P,0.2587757829676159
ANKRD2,6.85114578134448
ANKRD22,0.0715924459517322
ANKRD23,8.661989524376606
ANKRD26,1.148832608091979
ANKRD28,2.6577835816584456
ANKRD29,1.1394708047931184
ANKRD30BL,0.4604825669789533
ANKRD33B,1.4030593483105613
ANKRD35,1.442438231959597
ANKRD37,0.4645668566140041
ANKRD39,2.5938972789493477
ANKRD40,5.2518352987152666
ANKRD44,0.8631074724695207
ANKRD46,2.976034913125478
ANKRD49,1.9514509038633858
ANKRD54,2.39785743831273
ANKRD65,1.2721342991829934
ANKRD9,5.151911082634792
ANKS3,0.7921556942300135
ANKZF1,2.812023752224534
ANO1,1.6425259889743191
ANO10,2.250064762934218
ANO5,3.162178609974154
ANO6,3.4742758647086354
ANO8,1.6643426600300721
ANOS1,1.732727228597183
ANP32AP1,1.9665493333927846
ANP32B,4.1064234509354485
ANP32E,3.4143175500975897
ANPEP,1.078268930395052
ANTXR1,3.0184712742759583
ANTXR2,1.0724927545288845
ANXA1,4.108557492025515
ANXA11,2.259072077880461
ANXA2,0.536586101380081
ANXA2P1,2.5648729659099074
ANXA2P2,5.4519191611723805
ANXA2P3,3.340536918387372
ANXA2R,1.4570400097990077
ANXA3,1.7634957115211438
ANXA4,2.909317858677391
ANXA5,5.217695057430905
ANXA6,0.7556268274846409
ANXA7,4.838239266665153
AOAH,0.46373544087173274
AOC3,2.312082808941488
AOX1,0.7276765368207719
AP1AR,1.7353094399111355
AP1B1,2.7922354640642877
AP1G1,2.5531628872780288
AP1G2,0.7014727617521478
AP1M1,2.736591238372442
AP1S1,2.027203249538918
AP1S2,5.045089199744737
AP2A1,4.17739171040097
AP2A2,2.106514156244913
AP2B1,3.524693964707555
AP2M1,5.000072583768325
AP2S1,4.650974343425127
AP3B1,1.4691222395241479
AP3D1,2.9235797373881147
AP3M1,2.186813656949182
AP3M2,1.8678502179583558
AP3S1,3.670052279606077
AP4B1,1.6618047713537167
AP4B1_AS1,1.1939458023307283
AP4M1,1.5819098970720904
AP5M1,2.7859064214433618
AP5S1,2.9551243628150408
AP5Z1,1.2698123504913665
APBA3,2.024817160065519
APBB1,2.893650526789201
APBB1IP,1.1746965902983713
APBB2,2.0561856919765704
APBB3,2.1598216184310592
APC,1.6411376701067222
APCDD1,1.9306423530708343
APEH,2.67345534134508
APEX1,5.4738222968148555
APEX2,2.252841307540731
APH1A,0.9812813059816303
API5,1.1191841723028995
APIP,3.0375217402094905
APITD1,1.6420878627712603
APLN,1.4167927319826794
APLNR,2.944668634610409
APLP2,2.3150972347355534
APMAP,3.298922199058996
APOA1BP,3.654579780224315
APOBEC2,8.388372880918435
APOBEC3A,0.5362160647970817
APOBEC3B,0.0
APOBEC3C,2.016116876150168
APOBEC3D,0.6013485164338178
APOBEC3F,0.7239866103461362
APOBEC3G,1.2449546268026745
APOBEC3H,0.12326358930231592
APOBR,0.6546747480817336
APOC1P1,0.0
APOD,8.10527760132664
APOE,4.059447952566151
APOL1,2.4503508442741526
APOL2,2.886437965863748
APOL3,3.1340592436927306
APOL4,1.2120824443919422
APOL6,1.9878290853496066
APOLD1,1.8953270538650147
APOO,2.4647884865811056
APOOL,2.603308961673379
APOPT1,5.0019470001827555
APP,3.3431921836827407
APPBP2,1.9084732292948305
APPL1,3.0338463649007545
APPL2,2.228554287593558
APRT,3.7152451100978046
APTX,2.3266719473790674
AQP1,3.5365188403631733
AQP3,1.7026034690150134
AQP4,1.1407995927017613
AQP7,3.009404327078169
AQP7P1,0.09366293241202514
AQP7P3,0.0
AQP9,0.194820823973197
AR,1.7616278195676733
ARAF,4.912092988272686
ARAP1,1.4231096560032581
ARAP3,1.4903827219434553
ARCN1,3.619242083957043
